age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5477386934673367 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5804020100502513 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5613065326633165 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6005025125628141 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5597989949748744 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6010050251256281 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5532663316582914 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5824120603015075 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5547738693467337 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6186440677966102 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 1.0 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5698847262247838 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.45677233429394815 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5793969849246231 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5487437185929648 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5768844221105528 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5537688442211055 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6035175879396985 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5628140703517588 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5874371859296482 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5592964824120603 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.607537688442211 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5532663316582914 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5773869346733669 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5623115577889447 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5783919597989949 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5582914572864321 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.592462311557789 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5603015075376885 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6030150753768844 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5512562814070352 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6035175879396985 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5562814070351759 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.58643216080402 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.557286432160804 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5849246231155779 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.549748743718593 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5954773869346733 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5507537688442211 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5613065326633165 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5597989949748744 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5778894472361809 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5567839195979899 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5884422110552764 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5507537688442211 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6015075376884422 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5477386934673367 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.58643216080402 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5532663316582914 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5718592964824121 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.43618090452261304 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.5804020100502513 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5437185929648242 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6477386934673367 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.606532663316583 accuracy 
gender 	 1500 features 	 20 epochs 	 32 batch size 	 0.6537688442211055 accuracy 
age 	 1500 features 	 10 epochs 	 32 batch size 	 0.6110552763819096 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.607035175879397 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.5768844221105528 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6346733668341709 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.6020100502512563 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.6341708542713568 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.6005025125628141 accuracy 
gender 	 1000 features 	 20 epochs 	 32 batch size 	 0.635678391959799 accuracy 
age 	 1000 features 	 10 epochs 	 32 batch size 	 0.592964824120603 accuracy 
